id,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,population,iso_alpha_3,iso_alpha_2,iso_numeric,iso_currency,key_local,key_google_mobility,key_apple_mobility,key_jhu_csse,key_nuts,key_gadm
d9ccc2c9,2020-03-05,,,,,,,,,,,0,1,0,0,0,0,0,0,-2,2,0,0,0,0,10.94,12.04,12.5,0.0,1,Colombia,,,4.5709,-74.2973,49648685,COL,CO,170,COU,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,Colombia,CO,,COL
d9ccc2c9,2020-03-06,1,,,,,,,,,,0,1,0,0,0,0,0,0,-2,2,0,0,0,0,10.94,12.04,12.5,0.0,1,Colombia,,,4.5709,-74.2973,49648685,COL,CO,170,COU,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,Colombia,CO,,COL
d9ccc2c9,2020-03-07,,1,,,,,,,,,0,1,0,0,0,0,0,0,-2,2,0,0,0,0,10.94,12.04,12.5,0.0,1,Colombia,,,4.5709,-74.2973,49648685,COL,CO,170,COU,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,Colombia,CO,,COL
d9ccc2c9,2020-03-08,,,,,,,,,,,0,1,0,0,0,0,0,0,-2,2,0,0,0,0,10.94,12.04,12.5,0.0,1,Colombia,,,4.5709,-74.2973,49648685,COL,CO,170,COU,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,Colombia,CO,,COL
d9ccc2c9,2020-03-09,3,,,,,,,,,,0,1,0,0,0,0,0,0,2,2,0,0,0,0,12.5,14.81,14.29,0.0,1,Colombia,,,4.5709,-74.2973,49648685,COL,CO,170,COU,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,Colombia,CO,,COL
d9ccc2c9,2020-03-10,,2,,,,,,,,,0,1,0,0,0,0,0,0,2,2,0,0,0,0,12.5,14.81,14.29,0.0,1,Colombia,,,4.5709,-74.2973,49648685,COL,CO,170,COU,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,Colombia,CO,,COL
d9ccc2c9,2020-03-11,9,3,,,,,,,,,0,1,0,0,0,0,0,0,2,2,0,0,0,0,12.5,14.81,14.29,0.0,1,Colombia,,,4.5709,-74.2973,49648685,COL,CO,170,COU,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,Colombia,CO,,COL
d9ccc2c9,2020-03-12,14,,,,,,,,,,0,1,-2,2,0,0,0,2,2,2,0,0,0,0,23.44,34.26,26.79,0.0,1,Colombia,,,4.5709,-74.2973,49648685,COL,CO,170,COU,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,Colombia,CO,,COL
d9ccc2c9,2020-03-13,19,,1,,,,,,,,0,1,-2,2,0,0,0,2,2,2,0,0,0,0,23.44,34.26,26.79,0.0,1,Colombia,,,4.5709,-74.2973,49648685,COL,CO,170,COU,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,Colombia,CO,,COL
d9ccc2c9,2020-03-14,37,,2,,,,,,,,0,1,-2,2,0,0,0,2,2,2,0,0,0,0,23.44,34.26,26.79,0.0,1,Colombia,,,4.5709,-74.2973,49648685,COL,CO,170,COU,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,Colombia,CO,,COL
d9ccc2c9,2020-03-15,53,4,3,,,,,,,,0,1,-2,2,0,0,0,2,2,2,0,0,0,0,23.44,34.26,26.79,0.0,1,Colombia,,,4.5709,-74.2973,49648685,COL,CO,170,COU,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,Colombia,CO,,COL
d9ccc2c9,2020-03-16,67,5,,,,,,,,,3,1,-2,2,0,0,0,2,2,2,0,0,0,0,29.69,45.37,33.93,0.0,1,Colombia,,,4.5709,-74.2973,49648685,COL,CO,170,COU,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,Colombia,CO,,COL
d9ccc2c9,2020-03-17,92,,4,,,,,,,,3,1,2,3,0,0,0,2,2,2,0,0,0,0,39.06,50.93,37.5,50.0,1,Colombia,,,4.5709,-74.2973,49648685,COL,CO,170,COU,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,Colombia,CO,,COL
d9ccc2c9,2020-03-18,104,,,,,,,,,,3,1,2,3,0,0,0,2,2,2,0,0,0,0,39.06,50.93,37.5,50.0,1,Colombia,,,4.5709,-74.2973,49648685,COL,CO,170,COU,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,Colombia,CO,,COL
d9ccc2c9,2020-03-19,130,,5,,,,,,,,3,1,2,3,0,0,0,2,2,2,0,0,0,0,39.06,50.93,37.5,50.0,1,Colombia,,,4.5709,-74.2973,49648685,COL,CO,170,COU,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,Colombia,CO,,COL
d9ccc2c9,2020-03-20,178,,6,,,,,,,,3,1,2,3,0,0,0,2,2,2,0,0,0,3,45.31,50.93,44.64,50.0,1,Colombia,,,4.5709,-74.2973,49648685,COL,CO,170,COU,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,Colombia,CO,,COL
d9ccc2c9,2020-03-21,212,,9,,,,,,,,3,1,2,3,0,0,0,2,2,2,0,0,0,3,45.31,50.93,44.64,50.0,1,Colombia,,,4.5709,-74.2973,49648685,COL,CO,170,COU,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,Colombia,CO,,COL
d9ccc2c9,2020-03-22,241,7,12,,,,,,,,3,1,2,3,0,0,0,2,2,2,0,0,0,3,45.31,50.93,44.64,50.0,1,Colombia,,,4.5709,-74.2973,49648685,COL,CO,170,COU,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,Colombia,CO,,COL
